5.784086072053836736e-01 6.511558957386776036e-01 2.946766537747916859e-01 8.721053331764364591e-01 3.945947770775628527e-01 6.580192970391322005e-01 3.146517053375991191e-01 3.415045691151252782e-01 5.171844673835045425e-01 6.587286791484315840e-01
7.904707082882501679e-01 4.156314896988154706e-01 5.877863384879500330e-03 5.683837731095701118e-01 3.143481532693749303e-01 1.132352821358715289e-01 5.388531290032876342e-01 3.498451373624592575e-01 6.254679590029194047e-01 4.988467423361457875e-01
3.319311534474861380e-01 2.278133056725148986e-01 5.342379260452106982e-01 9.453937395535366717e-01 5.725762368202613750e-02 7.851041316822037208e-01 1.150145308065692040e-01 4.397388839881413158e-01 2.132213190949099335e-01 1.140230104980145542e-01
5.042617407593564804e-01 9.597810475220226456e-01 3.052631800053517974e-02 2.133240047244450155e-01 8.764235881821520469e-01 1.715033944025147195e-01 6.632054691590313356e-01 7.024019813468806994e-02 5.086950382337811494e-01 2.783563764753638203e-03
5.261864960390832957e-01 1.957881622217387818e-01 2.987468513562311356e-01 7.575099221528932558e-01 7.974596598998746622e-01 1.907113346689003341e-01 8.698758411166054305e-01 1.160284564172040511e-01 7.636351648227097666e-01 7.409248014904907809e-01
8.761190580420994412e-01 6.154537482649405922e-01 7.247683900066751450e-01 1.308675477998243464e-01 7.289630539876820192e-01 2.838249925345975866e-01 7.316746154601929675e-01 1.183405345996365599e-01 4.139484214648736504e-02 9.309665209960392707e-01
8.665067108815623920e-01 3.874093100308111381e-01 3.201703601628369533e-02 3.018050554271067831e-03 5.775640365054788283e-01 9.657708521416240588e-01 5.693243490613257851e-01 5.536179185944348768e-01 5.855467027278455916e-01 9.471091130961316606e-01
3.485642809157554201e-01 2.127745449134904598e-01 4.651753901731136009e-01 3.882346537625908089e-01 2.410048465671545959e-01 7.514438783589689752e-01 3.491721579826179145e-02 4.536357121864986741e-02 5.612206112181502560e-01 8.111171611032494955e-01
6.407369143838385073e-01 3.673449972155989895e-01 8.323541080273625381e-01 4.408957526698141782e-01 9.079907135216293002e-01 4.946210686787666511e-01 9.677261917945637615e-01 3.204505874062840709e-01 2.168737199978540975e-01 6.271726492567373246e-01
2.963889297542604551e-01 8.211595654656982379e-01 4.289962733049634824e-01 2.879148636918270610e-01 2.831624684470462894e-01 2.194092766890634039e-01 3.966444536995208381e-01 1.496463491109158994e-01 6.787757564568771551e-01 7.623261945497299408e-01
